시도,시군구,사고월,사고년도,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고월,사고년도,01일,02일,03일,04일,05일,06일,07일,08일,09일,10일,11일,12일,13일,14일,15일,16일,17일,18일,19일,20일,21일,22일,23일,24일,25일,26일,27일,28일,29일,30일,31일
서울,마포구,06월,사고[건],6,1,2,2,4,3,6,4,2,5,3,2,4,3,3,3,2,6,1,8,3,2,3,8,3,3,3,4,3,2,-
서울,마포구,06월,사망[명],0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-
서울,마포구,06월,부상[명],9,1,2,3,4,5,8,5,3,6,3,2,9,8,2,5,2,9,1,10,4,2,3,9,4,5,3,4,5,1,-
서울,마포구,07월,사고[건],4,5,4,1,2,2,1,1,6,1,3,2,1,8,5,3,2,3,3,6,5,3,3,7,1,5,2,3,4,2,5
서울,마포구,07월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,07월,부상[명],4,10,5,3,3,3,1,2,9,1,3,2,1,11,6,3,5,4,5,8,8,3,7,14,1,5,2,3,6,2,6
서울,마포구,08월,사고[건],3,4,7,1,9,5,3,3,-,5,1,5,5,3,3,4,7,3,3,2,1,8,3,3,5,3,5,5,4,4,3
서울,마포구,08월,사망[명],0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,08월,부상[명],3,7,12,1,13,10,3,5,-,10,1,8,10,5,6,4,13,3,3,2,2,8,4,4,6,3,10,5,4,7,6
서울,마포구,09월,사고[건],3,9,4,2,2,2,5,7,6,5,4,4,3,-,2,7,3,4,8,4,1,9,4,4,-,6,1,2,2,2,-
서울,마포구,09월,사망[명],0,0,0,0,0,0,0,0,1,0,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,0,0,-
서울,마포구,09월,부상[명],4,17,7,4,5,3,6,9,7,5,15,4,4,-,2,9,2,6,16,4,1,14,4,6,-,7,1,3,3,4,-
서울,마포구,10월,사고[건],-,2,1,-,4,4,7,5,5,2,9,3,3,4,5,3,1,5,4,8,5,3,2,4,6,7,2,9,2,3,4
서울,마포구,10월,사망[명],-,0,0,-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
서울,마포구,10월,부상[명],-,2,1,-,4,4,9,8,8,4,12,4,4,4,13,4,1,6,5,10,8,5,3,4,10,14,4,13,3,2,5
서울,마포구,11월,사고[건],3,5,4,4,3,1,9,3,-,2,5,-,3,5,6,6,6,2,-,3,2,4,5,1,4,1,2,5,6,4,-
서울,마포구,11월,사망[명],0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,-
서울,마포구,11월,부상[명],4,7,4,4,3,1,9,3,-,2,8,-,4,7,7,8,7,2,-,3,2,5,5,2,5,1,2,8,6,6,-
서울,마포구,12월,사고[건],6,4,8,3,-,2,3,6,2,5,4,2,3,3,4,7,-,2,2,3,4,7,3,3,1,4,1,4,5,1,2
서울,마포구,12월,사망[명],0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,1,-,0,0,0,0,0,0,0,0,0,1,0,0,0,0
서울,마포구,12월,부상[명],7,4,9,4,-,2,5,9,3,5,6,2,8,3,6,7,-,2,2,7,4,7,4,4,2,4,1,5,6,1,2
서울,강서구,01월,사고[건],2,3,2,3,8,4,5,2,1,5,3,7,5,4,3,4,1,9,6,4,1,4,2,-,3,1,6,4,3,4,3
서울,강서구,01월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0
서울,강서구,01월,부상[명],2,4,2,3,11,4,8,4,1,6,3,7,8,4,15,4,1,11,7,4,1,9,2,-,4,1,7,4,4,5,3
서울,강서구,02월,사고[건],5,3,4,5,3,2,3,4,4,3,2,5,2,2,4,2,5,3,3,1,5,6,3,10,7,2,6,2,-,-,-
서울,강서구,02월,사망[명],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-
서울,강서구,02월,부상[명],8,5,8,7,3,2,3,9,4,4,2,12,2,2,4,2,7,3,5,1,6,8,5,16,12,9,6,2,-,-,-
서울,강서구,03월,사고[건],5,6,5,4,2,4,2,2,5,4,-,2,5,3,6,4,2,2,3,3,3,8,3,3,2,2,8,5,2,1,6
