,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
72,2023-03-14,2,7,3,3,8,3,2,13,0,10,8,3,5,2,2,2,3,0,1,1,6,3,2,6,4
73,2023-03-15,0,2,6,2,5,1,1,16,2,4,5,6,6,5,2,1,2,2,2,0,2,2,1,4,0
74,2023-03-16,4,5,4,3,4,4,2,12,4,10,3,1,1,3,5,1,4,2,0,3,2,3,2,2,5
75,2023-03-17,5,4,2,4,4,1,3,17,1,6,12,4,2,4,0,0,2,2,1,1,3,3,1,3,3
76,2023-03-18,4,4,2,5,5,4,4,7,6,6,7,3,1,4,4,2,3,1,3,2,4,3,2,4,5
77,2023-03-19,2,1,3,3,6,3,2,5,2,4,3,1,1,1,2,2,1,1,1,1,2,2,2,3,2
78,2023-03-20,0,4,3,2,1,3,3,7,3,13,6,3,5,4,3,4,1,1,2,4,0,4,2,3,1
79,2023-03-21,0,4,3,3,13,6,2,12,3,8,6,3,0,2,5,2,2,2,3,1,2,3,1,2,3
80,2023-03-22,2,4,8,6,5,2,4,9,3,2,9,5,2,2,7,2,2,1,1,5,6,6,1,3,2
81,2023-03-23,2,4,3,3,2,0,5,10,5,7,9,2,3,2,3,7,3,1,3,1,11,2,1,4,2
82,2023-03-24,3,5,3,5,5,13,2,9,3,6,3,3,3,5,4,2,4,2,1,3,6,2,0,1,3
83,2023-03-25,2,4,2,2,6,1,1,7,3,3,8,2,6,4,6,1,5,1,2,1,3,4,1,0,4
84,2023-03-26,1,5,2,1,3,3,2,4,0,4,5,1,2,7,1,2,5,2,3,4,8,1,2,4,3
85,2023-03-27,0,2,8,1,3,3,5,10,3,2,8,0,4,6,4,2,1,0,2,2,3,2,1,4,2
86,2023-03-28,2,3,5,4,6,1,2,13,3,10,5,4,4,2,6,1,4,0,3,3,4,1,0,1,6
87,2023-03-29,5,6,2,4,3,4,2,14,1,7,2,4,1,4,3,4,1,1,5,0,1,4,2,3,1
88,2023-03-30,0,4,1,3,4,6,2,22,2,8,9,8,5,3,3,1,3,4,1,2,5,2,0,2,1
89,2023-03-31,6,3,6,4,4,3,4,13,6,9,7,3,0,2,7,6,3,2,0,0,3,5,0,7,2
90,2023-04-01,1,2,7,3,6,3,3,10,3,12,4,0,5,1,7,1,1,4,3,1,3,4,0,7,2
91,2023-04-02,3,7,3,1,5,5,1,3,5,6,4,2,2,3,1,0,2,3,2,4,7,4,3,7,5
92,2023-04-03,1,6,4,4,6,4,8,7,5,4,7,5,4,6,4,1,2,3,0,5,2,2,0,3,3
93,2023-04-04,3,1,4,2,7,6,3,8,2,11,5,6,3,6,1,2,3,1,2,5,3,3,2,4,0
94,2023-04-05,3,2,7,1,2,5,1,23,3,6,4,1,2,0,4,1,2,4,6,3,10,4,0,9,8
95,2023-04-06,2,4,5,0,5,3,4,13,4,5,6,2,2,2,0,1,2,2,1,8,4,2,3,2,2
96,2023-04-07,5,4,7,1,9,2,5,27,2,8,8,3,4,3,4,1,1,2,2,4,5,6,1,3,4
97,2023-04-08,4,6,9,2,3,6,4,6,3,12,9,4,6,3,7,1,7,2,4,5,2,1,0,6,3
98,2023-04-09,0,6,0,3,3,5,1,13,4,6,6,1,7,3,5,2,1,3,4,3,6,1,3,2,2
99,2023-04-10,3,2,2,7,3,1,1,10,4,5,3,6,1,5,4,1,3,2,1,4,3,1,2,3,1
100,2023-04-11,2,2,4,1,6,2,2,7,2,6,5,2,2,3,4,1,3,2,0,1,4,3,1,1,4
101,2023-04-12,5,3,6,2,3,2,4,14,2,7,6,6,3,5,4,1,2,2,3,1,4,1,2,2,2
102,2023-04-13,1,4,3,3,5,4,3,10,1,9,4,4,3,3,2,1,3,1,4,3,3,5,3,1,6
103,2023-04-14,2,2,6,6,1,4,0,13,5,7,6,3,4,5,7,4,5,5,0,1,5,2,1,4,2
104,2023-04-15,4,6,2,5,0,2,6,9,0,10,8,1,4,1,5,1,2,1,3,1,3,3,0,2,4
105,2023-04-16,1,4,1,4,2,3,2,6,5,2,2,0,4,2,2,2,2,3,3,2,2,1,2,5,2
106,2023-04-17,2,6,5,4,1,3,2,13,4,4,3,3,5,2,6,0,1,1,0,4,5,7,1,2,3
107,2023-04-18,1,0,4,1,5,2,3,10,1,8,3,2,5,6,2,1,3,5,0,3,0,1,1,1,3
108,2023-04-19,1,6,6,3,10,0,1,12,4,5,4,2,5,1,1,4,3,0,4,3,5,8,2,1,1
109,2023-04-20,1,2,4,2,8,6,3,12,2,8,7,7,5,7,3,1,3,3,0,5,9,3,2,3,2
